Season,Cruise,Sequence,CoreSeaso,StartDate,Week,Year,StartTemperature,StartSalinity,StartDO,N_TEMPERATURE,N_SALINITY,N_DO,AnalysisYN,Status,Gear,Mesh,Aliquot,FlowFlag,VolumeFiltered,Taxa,TotalAbundance
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Leiostomus xanthurus,35
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys lethostigma,4
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Myrophis punctatus,26
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Micropogonias undulatus,138
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Engraulidae,1
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Brevoortia tyrannus,11
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Anguilla rostrata,1
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Atherinopsidae,1
2010,955,3964,Yes,1/5/2010,10,2010,8.1,,,8.1,33.7,10,Yes,Processed,Neuston,1MM,1,,95.04,Lagodon rhomboides,121
2010,956,3965,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys lethostigma,1
2010,956,3965,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,89.76,Leiostomus xanthurus,5
2010,956,3965,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,89.76,Micropogonias undulatus,17
2010,956,3965,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,89.76,Myrophis punctatus,5
2010,956,3965,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,89.76,Orthopristis chrysoptera,1
2010,956,3965,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,89.76,Lagodon rhomboides,11
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Paralichthys lethostigma,6
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Paralichthys dentatus,1
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Paralichthys albigutta,7
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Myrophis punctatus,5
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Micropogonias undulatus,33
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Leiostomus xanthurus,13
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Lagodon rhomboides,8
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Anguilla rostrata,1
2010,956,3966,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,88,Brevoortia tyrannus,3
2010,956,3967,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,96.8,Paralichthys albigutta,5
2010,956,3967,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,96.8,Paralichthys dentatus,1
2010,956,3967,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,96.8,Paralichthys lethostigma,2
2010,956,3967,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,96.8,Micropogonias undulatus,62
2010,956,3967,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,96.8,Lagodon rhomboides,5
2010,956,3967,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,96.8,Leiostomus xanthurus,5
2010,956,3967,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,96.8,Myrophis punctatus,6
2010,956,3968,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,110.88,Leiostomus xanthurus,9
2010,956,3968,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,110.88,Micropogonias undulatus,40
2010,956,3968,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,110.88,Myrophis punctatus,8
2010,956,3968,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,110.88,Paralichthys albigutta,9
2010,956,3968,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,110.88,Scophthalmus aquosus,1
2010,956,3968,Yes,1/15/2010,11,2010,5.6,,,6.4,33.4,10.6,Yes,Processed,Neuston,1MM,1,,110.88,Lagodon rhomboides,2
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Micropogonias undulatus,9
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Sciaenidae,1
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Paralichthys lethostigma,1
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Myrophis punctatus,9
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Lagodon rhomboides,14
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Gobiidae,1
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Brevoortia tyrannus,3
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Leiostomus xanthurus,4
2010,957,3969,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Paralichthys albigutta,1
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Lagodon rhomboides,26
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Paralichthys lethostigma,1
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Paralichthys albigutta,2
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Myrophis punctatus,5
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Leiostomus xanthurus,8
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Gobiidae,1
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Brevoortia tyrannus,1
2010,957,3970,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,88,Micropogonias undulatus,2
2010,957,3971,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,98.56,Micropogonias undulatus,3
2010,957,3971,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,98.56,Paralichthys albigutta,7
2010,957,3971,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,98.56,Leiostomus xanthurus,23
2010,957,3971,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,98.56,Lagodon rhomboides,51
2010,957,3971,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,98.56,Brevoortia tyrannus,3
2010,957,3971,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,98.56,Myrophis punctatus,7
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Leiostomus xanthurus,18
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Paralichthys lethostigma,6
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Paralichthys albigutta,4
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Micropogonias undulatus,2
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Lagodon rhomboides,120
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Citharichthys,1
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Brevoortia tyrannus,4
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Anguilla rostrata,1
2010,957,3972,Yes,1/20/2010,12,2010,10.4,,,9.7,33.9,9.9,Yes,Processed,Neuston,1MM,1,,93.28,Myrophis punctatus,11
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Anguilla rostrata,1
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Myrophis punctatus,5
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys lethostigma,19
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys dentatus,3
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys albigutta,20
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Mugil cephalus,3
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Micropogonias undulatus,15
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Leiostomus xanthurus,94
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Brevoortia tyrannus,21
2010,958,3973,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Lagodon rhomboides,244
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Leiostomus xanthurus,80
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Paralichthys lethostigma,16
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Paralichthys dentatus,3
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Paralichthys albigutta,29
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Myrophis punctatus,5
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Mugil cephalus,2
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Lagodon rhomboides,310
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Brevoortia tyrannus,12
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Anguilla rostrata,1
2010,958,3974,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,102.08,Micropogonias undulatus,16
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys lethostigma,25
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Scophthalmus aquosus,1
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys dentatus,5
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys albigutta,13
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Micropogonias undulatus,29
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Leiostomus xanthurus,154
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Lagodon rhomboides,278
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Brevoortia tyrannus,12
2010,958,3975,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,95.04,Myrophis punctatus,1
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Leiostomus xanthurus,39
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Paralichthys lethostigma,10
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Paralichthys albigutta,7
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Myrophis punctatus,4
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Brevoortia tyrannus,16
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Micropogonias undulatus,14
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Lagodon rhomboides,139
2010,958,3976,Yes,1/27/2010,13,2010,10.4,,,9.7,32.3,9.8,Yes,Processed,Neuston,1MM,1,,91.52,Mugil cephalus,1
2010,959,3977,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,95.04,Lagodon rhomboides,70
2010,959,3977,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys albigutta,1
2010,959,3977,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,95.04,Paralichthys lethostigma,4
2010,959,3977,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,95.04,Myrophis punctatus,7
2010,959,3977,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,95.04,Brevoortia tyrannus,9
2010,959,3977,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,95.04,Micropogonias undulatus,1
2010,959,3977,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,95.04,Leiostomus xanthurus,4
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Micropogonias undulatus,8
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys lethostigma,4
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Myrophis punctatus,4
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Leiostomus xanthurus,24
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Lagodon rhomboides,113
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Gobiidae,2
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Citharichthys spilopterus,1
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Brevoortia tyrannus,12
2010,959,3978,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys albigutta,8
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Clupeiformes,1
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Mugil cephalus,1
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Paralichthys lethostigma,16
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Paralichthys dentatus,1
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Paralichthys albigutta,12
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Myrophis punctatus,11
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Micropogonias undulatus,17
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Leiostomus xanthurus,63
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Gobiidae,2
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Citharichthys spilopterus,1
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Brevoortia tyrannus,16
2010,959,3979,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,88,Lagodon rhomboides,263
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Mugil cephalus,1
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Anguilliformes,3
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys lethostigma,22
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys dentatus,6
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys albigutta,74
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Myrophis punctatus,23
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Leiostomus xanthurus,188
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Lagodon rhomboides,1282
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Gobiidae,6
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Brevoortia tyrannus,62
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Micropogonias undulatus,103
2010,959,3980,Yes,2/3/2010,14,2010,8.3,,,8.1,24.2,11.1,Yes,Processed,Neuston,1MM,1,,89.76,Citharichthys spilopterus,1
2010,961,3985,Yes,2/17/2010,16,2010,7.5,,,8,31.2,9.9,Yes,Processed,Neuston,1MM,1,,89.76,Leiostomus xanthurus,229
2010,961,3985,Yes,2/17/2010,16,2010,7.5,,,8,31.2,9.9,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys lethostigma,5
2010,961,3985,Yes,2/17/2010,16,2010,7.5,,,8,31.2,9.9,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys dentatus,1
2010,961,3985,Yes,2/17/2010,16,2010,7.5,,,8,31.2,9.9,Yes,Processed,Neuston,1MM,1,,89.76,Paralichthys albigutta,11
2010,961,3985,Yes,2/17/2010,16,2010,7.5,,,8,31.2,9.9,Yes,Processed,Neuston,1MM,1,,89.76,Myrophis punctatus,9
2010,961,3985,Yes,2/17/2010,16,2010,7.5,,,8,31.2,9.9,Yes,Processed,Neuston,1MM,1,,89.76,Micropogonias undulatus,71
